년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원)
2015,4,서울특별시,영등포구,183566.0,213.0,25800.0
2015,4,서울특별시,용산구,118012.0,229.0,33351.0
2015,4,서울특별시,은평구,205754.0,224.0,28769.0
2015,4,서울특별시,종로구,80252.0,203.0,28870.0
2015,4,서울특별시,중구,63896.0,211.0,27560.0
2015,4,서울특별시,중랑구,178124.0,218.0,26542.0
2015,5,서울특별시,강남구,256922.0,222.0,30248.0
2015,5,서울특별시,강동구,184115.0,213.0,25221.0
2015,5,서울특별시,강북구,145808.0,200.0,22744.0
2015,5,서울특별시,강서구,243218.0,207.0,23940.0
2015,5,서울특별시,관악구,268217.0,175.0,18838.0
2015,5,서울특별시,광진구,170217.0,190.0,22602.0
2015,5,서울특별시,구로구,186330.0,210.0,23616.0
2015,5,서울특별시,금천구,111292.0,189.0,20607.0
2015,5,서울특별시,노원구,217710.0,226.0,23954.0
2015,5,서울특별시,도봉구,139411.0,223.0,25269.0
2015,5,서울특별시,동대문구,174524.0,195.0,22420.0
2015,5,서울특별시,동작구,181940.0,197.0,22984.0
2015,5,서울특별시,마포구,181216.0,197.0,23052.0
2015,5,서울특별시,서대문구,144974.0,196.0,23049.0
2015,5,서울특별시,서초구,177095.0,240.0,34637.0
2015,5,서울특별시,성동구,128452.0,215.0,24857.0
2015,5,서울특별시,성북구,199559.0,213.0,25920.0
2015,5,서울특별시,송파구,255003.0,225.0,28090.0
2015,5,서울특별시,양천구,181348.0,232.0,27979.0
2015,5,서울특별시,영등포구,183575.0,200.0,23183.0
2015,5,서울특별시,용산구,118026.0,213.0,29599.0
2015,5,서울특별시,은평구,206740.0,208.0,25024.0
2015,5,서울특별시,종로구,80495.0,187.0,25181.0
2015,5,서울특별시,중구,63884.0,196.0,24200.0
2015,5,서울특별시,중랑구,178208.0,203.0,23253.0
2015,6,서울특별시,강남구,257015.0,237.0,34820.0
2015,6,서울특별시,강동구,184383.0,222.0,27129.0
2015,6,서울특별시,강북구,146037.0,206.0,23921.0
2015,6,서울특별시,강서구,243396.0,214.0,25445.0
2015,6,서울특별시,관악구,268226.0,180.0,19916.0
2015,6,서울특별시,광진구,170260.0,200.0,25025.0
2015,6,서울특별시,구로구,186823.0,217.0,25169.0
2015,6,서울특별시,금천구,111375.0,196.0,21819.0
2015,6,서울특별시,노원구,217931.0,234.0,25561.0
2015,6,서울특별시,도봉구,139484.0,233.0,26835.0
2015,6,서울특별시,동대문구,174388.0,203.0,23984.0
2015,6,서울특별시,동작구,182009.0,204.0,24510.0
2015,6,서울특별시,마포구,181325.0,208.0,25568.0
2015,6,서울특별시,서대문구,146184.0,201.0,24244.0
2015,6,서울특별시,서초구,176377.0,255.0,39524.0
2015,6,서울특별시,성동구,128419.0,226.0,27096.0
2015,6,서울특별시,성북구,199312.0,220.0,27515.0
2015,6,서울특별시,송파구,255157.0,234.0,30590.0
2015,6,서울특별시,양천구,181467.0,240.0,29862.0
2015,6,서울특별시,영등포구,184505.0,207.0,25019.0
2015,6,서울특별시,용산구,118050.0,228.0,34617.0
2015,6,서울특별시,은평구,206634.0,213.0,26185.0
2015,6,서울특별시,종로구,80467.0,196.0,27392.0
2015,6,서울특별시,중구,63881.0,207.0,27514.0
2015,6,서울특별시,중랑구,178271.0,209.0,24623.0
2015,7,서울특별시,전체,4382767.0,229.0,29243.0
2015,8,서울특별시,전체,4384681.0,278.0,42880.0
2015,9,서울특별시,전체,4390197.0,239.0,31003.0
2015,10,서울특별시,전체,4389707.0,207.0,24366.0
2015,11,서울특별시,전체,4392491.0,218.0,27155.0
2015,12,서울특별시,전체,4394879.0,227.0,29151.0
2015,7,서울특별시,강남구,256688.0,263.0,42055.0
2015,7,서울특별시,강동구,184106.0,234.0,28490.0
2015,7,서울특별시,강북구,146128.0,212.0,24844.0
2015,7,서울특별시,강서구,244616.0,223.0,26759.0
2015,7,서울특별시,관악구,268012.0,187.0,20998.0
2015,7,서울특별시,광진구,170165.0,213.0,27388.0
2015,7,서울특별시,구로구,186727.0,229.0,26537.0
2015,7,서울특별시,금천구,111303.0,206.0,22964.0
2015,7,서울특별시,노원구,218409.0,242.0,26391.0
2015,7,서울특별시,도봉구,139507.0,238.0,27499.0
2015,7,서울특별시,동대문구,174316.0,214.0,25451.0
2015,7,서울특별시,동작구,182626.0,212.0,25865.0
2015,7,서울특별시,마포구,181388.0,222.0,28083.0
2015,7,서울특별시,서대문구,146063.0,212.0,25807.0
2015,7,서울특별시,서초구,176617.0,279.0,46036.0
2015,7,서울특별시,성동구,128369.0,239.0,29575.0
2015,7,서울특별시,성북구,199000.0,229.0,28637.0
2015,7,서울특별시,송파구,255338.0,247.0,32797.0
2015,7,서울특별시,양천구,181665.0,253.0,32094.0
2015,7,서울특별시,영등포구,184623.0,223.0,28212.0
2015,7,서울특별시,용산구,117958.0,247.0,40240.0
2015,7,서울특별시,은평구,206597.0,221.0,27409.0
2015,7,서울특별시,종로구,80443.0,208.0,30455.0
2015,7,서울특별시,중구,63888.0,221.0,31277.0
2015,7,서울특별시,중랑구,178215.0,219.0,25970.0
2015,8,서울특별시,강남구,255884.0,325.0,63984.0
2015,8,서울특별시,강동구,183866.0,283.0,41574.0
2015,8,서울특별시,강북구,146162.0,253.0,34456.0
2015,8,서울특별시,강서구,245204.0,272.0,39257.0
2015,8,서울특별시,관악구,268312.0,229.0,29449.0
2015,8,서울특별시,광진구,170283.0,263.0,42197.0
2015,8,서울특별시,구로구,187035.0,276.0,37639.0
2015,8,서울특별시,금천구,111063.0,250.0,32783.0
2015,8,서울특별시,노원구,218642.0,289.0,35627.0
2015,8,서울특별시,도봉구,139589.0,284.0,37731.0
2015,8,서울특별시,동대문구,174909.0,258.0,37068.0
2015,8,서울특별시,동작구,182694.0,260.0,37738.0
2015,8,서울특별시,마포구,182090.0,275.0,43638.0
2015,8,서울특별시,서대문구,146073.0,254.0,37551.0
2015,8,서울특별시,서초구,176043.0,349.0,73442.0
2015,8,서울특별시,성동구,128399.0,295.0,43816.0
2015,8,서울특별시,성북구,198765.0,275.0,40739.0
2015,8,서울특별시,송파구,255565.0,305.0,49581.0
2015,8,서울특별시,양천구,181639.0,304.0,46011.0
2015,8,서울특별시,영등포구,185505.0,267.0,39505.0
2015,8,서울특별시,용산구,117867.0,309.0,64008.0
2015,8,서울특별시,은평구,206571.0,266.0,39127.0
2015,8,서울특별시,종로구,80378.0,252.0,43601.0
2015,8,서울특별시,중구,63685.0,267.0,44436.0
2015,8,서울특별시,중랑구,178458.0,265.0,37721.0
2015,9,서울특별시,강남구,255816.0,262.0,39312.0
2015,9,서울특별시,강동구,184097.0,238.0,29566.0
2015,9,서울특별시,강북구,146317.0,225.0,26999.0
2015,9,서울특별시,강서구,245399.0,237.0,29413.0
2015,9,서울특별시,관악구,268681.0,201.0,23053.0
2015,9,서울특별시,광진구,170895.0,221.0,28717.0
2015,9,서울특별시,구로구,187004.0,239.0,28385.0
2015,9,서울특별시,금천구,111131.0,218.0,25249.0
2015,9,서울특별시,노원구,218650.0,249.0,27571.0
2015,9,서울특별시,도봉구,139734.0,245.0,28864.0
2015,9,서울특별시,동대문구,174944.0,224.0,27632.0
2015,9,서울특별시,동작구,183370.0,224.0,28018.0
2015,9,서울특별시,마포구,182163.0,231.0,29868.0
2015,9,서울특별시,서대문구,147175.0,218.0,26848.0
2015,9,서울특별시,서초구,176566.0,280.0,45392.0
2015,9,서울특별시,성동구,128512.0,259.0,33038.0
2015,9,서울특별시,성북구,198713.0,244.0,31732.0
2015,9,서울특별시,송파구,255633.0,264.0,36737.0
2015,9,서울특별시,양천구,181862.0,267.0,35544.0
2015,9,서울특별시,영등포구,185608.0,229.0,28441.0
2015,9,서울특별시,용산구,117819.0,260.0,43636.0
2015,9,서울특별시,은평구,206857.0,238.0,30786.0
2015,9,서울특별시,종로구,80439.0,216.0,31779.0
2015,9,서울특별시,중구,63984.0,232.0,32895.0
2015,9,서울특별시,중랑구,178828.0,228.0,27561.0
2015,10,서울특별시,강남구,255793.0,226.0,30778.0
2015,10,서울특별시,강동구,183701.0,210.0,24477.0
2015,10,서울특별시,강북구,146340.0,197.0,21822.0
2015,10,서울특별시,강서구,245405.0,206.0,23252.0
2015,10,서울특별시,관악구,268779.0,173.0,18306.0
2015,10,서울특별시,광진구,170957.0,189.0,22297.0
2015,10,서울특별시,구로구,187023.0,209.0,22992.0
2015,10,서울특별시,금천구,111116.0,191.0,20436.0
2015,10,서울특별시,노원구,218690.0,224.0,23075.0
2015,10,서울특별시,도봉구,139766.0,221.0,24344.0
2015,10,서울특별시,동대문구,174874.0,193.0,21648.0
2015,10,서울특별시,동작구,183122.0,195.0,22288.0
2015,10,서울특별시,마포구,182038.0,196.0,22865.0
2015,10,서울특별시,서대문구,147147.0,193.0,22233.0
2015,10,서울특별시,서초구,176621.0,242.0,34675.0
2015,10,서울특별시,성동구,128492.0,218.0,24583.0
2015,10,서울특별시,성북구,198660.0,212.0,25257.0
2015,10,서울특별시,송파구,255972.0,223.0,27192.0
2015,10,서울특별시,양천구,181666.0,233.0,27544.0
2015,10,서울특별시,영등포구,185841.0,199.0,22514.0
2015,10,서울특별시,용산구,117628.0,218.0,30992.0
2015,10,서울특별시,은평구,206788.0,207.0,24073.0
2015,10,서울특별시,종로구,80523.0,187.0,24861.0
2015,10,서울특별시,중구,63960.0,195.0,24010.0
2015,10,서울특별시,중랑구,178805.0,200.0,22539.0
2015,11,서울특별시,강남구,256005.0,234.0,33215.0
2015,11,서울특별시,강동구,182067.0,224.0,27596.0
2015,11,서울특별시,강북구,146506.0,209.0,24727.0
2015,11,서울특별시,강서구,246703.0,217.0,26193.0
2015,11,서울특별시,관악구,269161.0,183.0,20551.0
2015,11,서울특별시,광진구,171171.0,198.0,24659.0
2015,11,서울특별시,구로구,187634.0,220.0,25795.0
2015,11,서울특별시,금천구,111201.0,202.0,22983.0
2015,11,서울특별시,노원구,219214.0,239.0,26493.0
2015,11,서울특별시,도봉구,139771.0,236.0,28003.0
2015,11,서울특별시,동대문구,174976.0,202.0,24132.0
2015,11,서울특별시,동작구,182540.0,204.0,24841.0
2015,11,서울특별시,마포구,182411.0,205.0,25151.0
2015,11,서울특별시,서대문구,147128.0,202.0,24647.0
2015,11,서울특별시,서초구,176594.0,253.0,38035.0
2015,11,서울특별시,성동구,128520.0,228.0,27571.0
2015,11,서울특별시,성북구,198689.0,223.0,28360.0
2015,11,서울특별시,송파구,256471.0,235.0,30583.0
2015,11,서울특별시,양천구,181763.0,243.0,30444.0
2015,11,서울특별시,영등포구,186031.0,207.0,24653.0
2015,11,서울특별시,용산구,117519.0,226.0,32969.0
2015,11,서울특별시,은평구,206772.0,218.0,27354.0
2015,11,서울특별시,종로구,80790.0,196.0,27433.0
2015,11,서울특별시,중구,64194.0,205.0,26394.0
2015,11,서울특별시,중랑구,178660.0,212.0,25325.0
2015,12,서울특별시,강남구,253125.0,240.0,34810.0
2015,12,서울특별시,강동구,181847.0,233.0,29757.0
2015,12,서울특별시,강북구,146597.0,217.0,26636.0
2015,12,서울특별시,강서구,248466.0,223.0,27769.0
2015,12,서울특별시,관악구,269080.0,190.0,22274.0
2015,12,서울특별시,광진구,171345.0,206.0,26414.0
2015,12,서울특별시,구로구,187860.0,228.0,27710.0
2015,12,서울특별시,금천구,111254.0,209.0,24646.0
2015,12,서울특별시,노원구,219408.0,247.0,28066.0
2015,12,서울특별시,도봉구,139867.0,245.0,29926.0
2015,12,서울특별시,동대문구,174941.0,211.0,26131.0
2015,12,서울특별시,동작구,182424.0,212.0,26772.0
2015,12,서울특별시,마포구,182204.0,212.0,26695.0
2015,12,서울특별시,서대문구,147150.0,215.0,27224.0
2015,12,서울특별시,서초구,176702.0,261.0,40303.0
2015,12,서울특별시,성동구,129854.0,235.0,29284.0
2015,12,서울특별시,성북구,198658.0,232.0,30451.0
2015,12,서울특별시,송파구,256646.0,256.0,33803.0
2015,12,서울특별시,양천구,183141.0,249.0,32004.0
2015,12,서울특별시,영등포구,186141.0,218.0,27095.0
2015,12,서울특별시,용산구,117401.0,236.0,35312.0
2015,12,서울특별시,은평구,207303.0,226.0,29414.0
2015,12,서울특별시,종로구,80698.0,207.0,30205.0
2015,12,서울특별시,중구,64167.0,215.0,28862.0
2015,12,서울특별시,중랑구,178600.0,220.0,27255.0
2016,1,서울특별시,전체,4399911.0,242.0,33041.0
2016,2,서울특별시,전체,4404389.0,245.0,33790.0
2016,3,서울특별시,전체,4410047.0,219.0,27362.0
2016,4,서울특별시,전체,4414548.0,219.0,27199.0
2016,5,서울특별시,전체,4421494.0,206.0,24417.0
2016,6,서울특별시,전체,4427182.0,215.0,26747.0
2016,1,서울특별시,강남구,255951.0,260.0,39598.0
2016,1,서울특별시,강동구,182378.0,249.0,33951.0
2016,1,서울특별시,강북구,146689.0,234.0,30735.0
2016,1,서울특별시,강서구,248918.0,238.0,31468.0
2016,1,서울특별시,관악구,269429.0,203.0,25180.0
2016,1,서울특별시,광진구,171770.0,221.0,30121.0
2016,1,서울특별시,구로구,188241.0,244.0,31570.0
2016,1,서울특별시,금천구,111440.0,226.0,28509.0
2016,1,서울특별시,노원구,219778.0,263.0,31793.0
2016,1,서울특별시,도봉구,139951.0,263.0,34371.0
2016,1,서울특별시,동대문구,175045.0,227.0,30054.0
2016,1,서울특별시,동작구,182710.0,225.0,29884.0
2016,1,서울특별시,마포구,182188.0,229.0,30712.0
2016,1,서울특별시,서대문구,147283.0,232.0,31410.0
2016,1,서울특별시,서초구,174972.0,274.0,44061.0
2016,1,서울특별시,성동구,129847.0,252.0,33452.0
