,y_test,y_pred,Data,Model,Training time,Best hyperparams,MAE,RMSE,R^2,Adjusted R^2
1,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[233.40904845745544, 239.308424181427, 234.98552229862895, 237.73048796718788, 218.411140014038, 215.0960883491898, 301.32772051782945, 210.48955739039022, 208.64572700032727, 234.36052590844577, 229.4441819133462, 210.48092889148808, 224.8256733278689, 243.6641518529502, 244.43037245973773, 231.36120900250805, 218.08171427672036, 209.04093479379006, 226.74997915104206, 195.9927475035156, 211.00023375862196, 235.06621374888908, 258.19499912993797, 282.9524380711988, 231.79348877546687, 237.2973646482738, 218.1414733073803, 229.18837903169364, 300.83654355875296, 244.97887612312707, 222.27744359486266, 310.33084640526886, 233.27242991549187, 208.80262995872815, 295.25234799849926, 234.20645445462415, 214.73694154381326, 231.99753615211466, 230.6764544750738, 331.52187707344655, 235.98025314784496, 235.27295845867025, 235.82749442294786, 255.50438082270705, 214.48323632457686, 227.4179148481995, 269.27851550232316, 219.28160876453012, 228.14182959683646, 234.00479737128038, 214.54568694472744, 211.76795412171091, 231.45531473772056, 219.74979396944158, 236.33175236325772, 246.7547421439969, 310.82318881318326, 218.0239453670571, 224.10119468656185, 240.1794383749679, 234.20902019084477, 230.599057764715, 224.6014370445304, 252.03069666452274, 231.09395264150825, 212.3787914101343, 242.6121058146394, 206.2796539111056, 218.32352451877654, 222.6501401251051, 241.3307530528785, 234.10434395922093, 238.32500844532646, 225.29665078797225, 226.91003585688122, 231.48402112652312, 220.74192763521364, 231.30757342429172, 236.9924803139837, 234.4824675121573, 257.3695245525304, 213.0659555969481, 309.88352568736957, 234.0320524434874, 220.1233416163752, 242.29174740619968, 219.38990710936895, 293.0781725457966, 321.6744625762567, 195.91962563400796, 224.04519666675566, 224.36069150416486, 242.54457122672864, 215.06731776304505, 283.7685431034163, 235.97053018601073, 214.86388926352225, 214.65422727662127, 210.48108564651795, 218.03655209004276, 224.6103755598902, 222.15976804004478, 220.9098654246365, 261.2477631747827, 229.64344942666136, 219.63564086410844, 229.9100814988073, 220.54908624800674, 234.48979371045246, 241.34965318201014, 233.04760737674775, 219.8195965766817, 229.2587336998623, 206.39233522793057, 239.76819206478945, 297.94190190718746, 227.98733263390807, 233.1660660797996, 206.75442156954668, 229.9640268789255, 238.96079359996952, 194.97428007813045, 235.78708305699578, 257.43924173766686, 218.63378505820256, 234.35667379263253, 213.89735010655656, 277.8224041522107, 233.23374979822069, 215.19942420915768, 227.83832842996227, 226.11333319157185, 225.68873522541458, 269.8279757061178, 277.1602144216554, 309.92091239207576, 227.1047502935436, 230.87452968786408, 205.0584513980334, 220.98535794246467, 207.01961522082254, 235.21795602692018, 248.55244475168305, 234.3855835981919, 234.0604879679464, 220.6886773036655, 223.93950832098812, 280.9219760736822, 239.74493123575775, 241.13607116532785, 236.8376077907079, 222.80154187515504]",X0,ElasticNet,0.1188819408416748,"{'alpha': 0.1, 'l1_ratio': 0.9}",16.592132923570514,22.476101191230327,0.5447372334683521,0.44560743753000953
4,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[233.99769708002933, 236.4018045541843, 232.80513879035308, 231.24455649853707, 218.99546503778214, 224.54679640830923, 303.99131946734593, 209.368346033241, 214.50479099543352, 235.49938986936994, 226.6242499492435, 211.61546977486415, 224.28666345111807, 243.0079314257867, 244.33508857451432, 231.53255884815, 218.4208301204416, 211.16854215480376, 227.32947769065214, 206.6526497525275, 210.772229557566, 231.24426683731153, 253.66737311679495, 286.18711633791395, 232.34559696219532, 233.52398394732074, 221.77972450588743, 226.73775918856649, 300.25985889290206, 237.19091607119867, 210.88867462617608, 306.8615192144562, 231.43975173524274, 218.2281376545108, 293.7352135155674, 244.23511479905397, 224.3118622114008, 229.53633333958982, 229.0442499798822, 329.07308523464536, 240.01312235297567, 232.20173832497844, 233.37323855984246, 250.9796794026497, 221.77658214287786, 228.09936750377778, 272.86096816791587, 218.22182752890248, 228.82669860259202, 236.43769937896798, 210.17136217002644, 221.53807440889625, 233.06895193016408, 219.98313313813847, 237.42606222223486, 246.58541126446232, 307.0005643395311, 226.7847109675766, 222.26599412650154, 236.5072988052211, 236.21190718688678, 229.29649269303778, 216.58259170309992, 241.8986131477906, 230.28440582967065, 216.39426965114984, 239.14351519448965, 214.74380861093272, 222.694079103716, 231.2416394745069, 242.28685134284314, 231.70992146527433, 233.60224115108872, 220.046192553711, 221.82201742706732, 233.46116018012137, 225.0912333827616, 230.9832717303264, 236.80121275042714, 234.15910290748445, 253.5553502888963, 221.6782835877642, 303.9027267108278, 234.21758363109078, 213.91265340262674, 234.72676547361763, 227.12694271887872, 292.02540405312806, 316.05597543735377, 206.8551793178798, 217.8084158603237, 227.68228546722284, 237.66175722709173, 219.97298424619356, 294.03161174411684, 237.19345468703807, 215.24476870116507, 209.17108312105015, 216.47501936009374, 228.30895774936943, 224.89189885307601, 219.5161357500031, 219.79061804642842, 260.05528602993763, 226.4642037733943, 215.49236873646313, 231.0518529454939, 216.87448411108514, 238.12366051282072, 240.6722127730111, 232.05540145718595, 216.2891449836169, 227.64279267906306, 210.87301793616894, 239.73639479434325, 295.49361948589495, 224.89872863701598, 231.63459841166508, 216.40805908369387, 238.29609113210034, 238.59665965491567, 204.81431224654239, 235.32950847230558, 255.13442403037604, 221.81742937035952, 235.42072749506045, 225.2073849516044, 278.176247529329, 232.25746694001225, 217.15507044719322, 224.0237525665589, 227.6544249242511, 221.97737274151856, 269.16693283678933, 275.7594300544004, 306.8255790722037, 227.12378365523136, 232.74208971066955, 212.5670308162821, 217.23222822564165, 218.63507467317945, 237.16835281340178, 247.997226732713, 234.15738785700574, 237.6704277752925, 219.26467560331474, 219.43268755631917, 279.40080385879935, 239.61623028365256, 238.48945460391548, 239.6634607137587, 219.42911093664884]",X1,ElasticNet,0.08836984634399414,"{'alpha': 0.1, 'l1_ratio': 0.9}",16.47240686802898,22.374709540305858,0.5488354289314485,0.4990746306518289
0,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[238.03458046224526, 238.1851861073382, 234.15522355791455, 244.45343343337692, 213.57157858503857, 204.91502965479762, 295.29025864836444, 199.32105584181588, 199.56584442328392, 239.7466664196613, 215.95844251318297, 207.24661126433406, 225.2116315678272, 252.62311103638348, 245.36264547769085, 231.74382712468204, 214.8758544216937, 207.47896943950013, 233.48222745994954, 192.55553526868988, 210.57630400065784, 236.25479423291856, 255.86274254236093, 282.58521444081714, 237.39156272403676, 241.1657851059264, 222.5885274776945, 235.41933473114426, 310.8283724449309, 249.3072531216172, 210.75912281038958, 305.68099290988266, 232.56983334342937, 206.1916711337122, 297.7248379610262, 233.3682185156002, 216.085957205522, 236.21951017980447, 227.70881087810173, 339.70151432239595, 249.0006435976378, 238.72667121204483, 231.05048633182673, 265.2375008056108, 217.25667810658993, 228.24000655494507, 276.8902459461153, 212.266417477372, 226.65376244878237, 247.4679076679457, 199.00123676219718, 204.69100227207133, 228.9112784307879, 220.6690597606766, 242.1522399594502, 251.72610617697342, 302.8032694285143, 216.91237292775656, 224.59973223323425, 250.74330776563943, 237.31910584525522, 220.82639039104086, 216.60472006550728, 262.4425601354095, 235.64836627360478, 213.02334015593476, 234.721976436982, 201.49549211201216, 209.60808375394748, 224.4285545101027, 235.62242711648017, 239.27021500199697, 242.65753204532527, 219.44644819564616, 225.31912661911764, 231.55159966987299, 226.45814420372685, 233.11712610497943, 239.35528130985176, 229.06960870202755, 265.70382176188036, 205.15578875754733, 309.51680375715125, 242.43285776503186, 217.28771346259015, 228.9048820369016, 221.5803415919148, 294.33102212829544, 308.24200954489834, 194.280468013436, 219.48239021850105, 225.22769499583083, 250.13171401870665, 210.5450998051341, 280.76741262413327, 237.1009206791311, 216.36926616562488, 200.41250846557205, 207.04611764791795, 218.63446137273522, 220.68447511612857, 217.87096961190733, 227.11912072291307, 270.28861836899205, 227.79983982665613, 215.64933824273652, 226.10023148093615, 214.06648582597003, 237.92094430153878, 251.68621358900688, 234.56944614181896, 205.45395073569335, 234.2476565025909, 201.69176023831716, 242.98976558385374, 290.88993012426954, 229.82112095372779, 236.74518878760333, 201.91420883506737, 238.1981633347895, 236.12705456917902, 187.36935841110943, 237.0927292382775, 258.86885459495477, 215.1982342140784, 232.82085025160023, 208.7755880759729, 284.23062622871066, 227.51743452354677, 214.47599216357767, 228.81792375050412, 224.11949391553742, 227.39135554107978, 272.3883966926053, 281.70983542482895, 305.41399580805466, 229.08134726381593, 233.98810513113295, 197.61928767653282, 219.3694964428143, 203.84497106313816, 233.68773469148246, 244.12634015098595, 240.2057489215654, 241.32180450099668, 219.35821057803275, 218.3006204960813, 279.47694828675844, 244.66897093294648, 244.96433222765424, 244.45773393103778, 216.11088307620514]",X0,LinearRegression,0.027942895889282227,{'fit_intercept': True},15.97546189625008,21.603637313936296,0.5793954842699036,0.4878122429415762
3,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[235.46062960643357, 242.81463559982518, 235.34562051199052, 231.7058444532139, 215.24100024489937, 217.38962234972286, 305.07138647222337, 203.4834992226256, 203.7304426022716, 243.2771045275799, 223.37532747758362, 206.58262823473098, 224.73979419813787, 247.16650884516963, 251.65827330962824, 232.59293075662578, 217.5080987525898, 205.82087302936287, 229.6938935710054, 200.52768966363556, 203.15544709270299, 228.6194666894168, 255.07558544575818, 282.8252360250746, 233.27638710047626, 236.5922091617642, 221.97175941778607, 229.71102254228248, 304.9679329256077, 240.81737446088104, 201.44118770439954, 304.5996176459846, 235.97569902216622, 213.04955915018576, 294.08780926118084, 244.46806019734765, 222.20584310855148, 230.6534922236549, 227.53497497167922, 332.7780883356667, 252.9187138420584, 234.2502992213921, 234.43804173605534, 259.8924820191627, 221.3685666379294, 231.31905482487483, 278.3588826154023, 213.13398548048195, 231.61960404141587, 244.3528213507599, 204.25322276126752, 211.8276287008728, 235.9729010128325, 220.82233568373158, 244.74777300073936, 253.29170370922841, 303.9052242495328, 224.9541140473671, 224.31788859349044, 240.8433735110831, 237.1461095582866, 225.16931672523603, 213.5488825164392, 248.2250539294031, 235.15140746070884, 214.01204016626605, 241.57004614714518, 207.41895385024588, 221.55040073071225, 232.2406244040276, 246.68771542870525, 230.41948859754748, 237.16666555877458, 216.03786862923766, 218.4101860991364, 233.41124630643716, 227.13308463906196, 229.4232432944208, 239.5860004530661, 238.66646890460441, 257.2271133909912, 215.32616186523535, 297.7797522582006, 238.177327426033, 209.08540687993724, 231.54479015958043, 228.64714994811973, 294.1508459473894, 311.5386784065641, 199.42380290272277, 215.03895794688358, 235.61564110355783, 246.01621814767773, 219.2549067185318, 289.0871478943112, 244.2642948007803, 211.67132343303155, 206.35975122963134, 209.31795954539606, 227.18363614002683, 226.5271000869742, 216.04388218181268, 221.0331949590253, 266.53416882012556, 226.27410340433582, 216.45658978248758, 229.23771183185357, 212.95939131286158, 241.73350848115476, 247.32000450870825, 231.61476850451274, 209.83023057578666, 223.6543646382476, 204.25124644365013, 245.85780158025165, 294.613190461075, 221.84546361256255, 232.65900123742875, 208.0476355335598, 241.89849349253902, 240.64539113153188, 194.2106296817547, 240.01742312230857, 258.2043148749996, 218.55517861910548, 240.092156433216, 219.57888664526934, 279.1893719203812, 232.3224009155884, 214.0932808236887, 226.76214030292624, 222.9394595238011, 218.78749110867088, 271.83838400714984, 274.4440181255414, 308.26721847084923, 226.54604276035082, 234.71759738581852, 206.76659742679675, 211.42788296197037, 215.18719826826816, 237.40316819921804, 253.05935547652587, 239.4510506244896, 249.97225160041188, 213.7912393804356, 215.84526412142367, 281.2682783468045, 239.84869272913528, 239.9477994468857, 252.311372474343, 213.59974803870864]",X1,LinearRegression,0.011492729187011719,{'fit_intercept': True},16.047488889838466,21.993738416552887,0.5640684650476855,0.515987781045592
2,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[212.95957695774305, 248.19930019774054, 253.7564766378539, 238.9719214025315, 222.1623180017015, 210.94002258129294, 340.54792854806306, 209.99512241666847, 193.82320048805744, 227.71217805773628, 228.17461230327305, 223.87206920594662, 230.21220440968213, 229.4062650250353, 260.0781336057138, 231.9869673857451, 212.45357688711348, 200.16903183831954, 218.45532612499773, 201.21275172895415, 206.56348012248665, 240.17694972339743, 253.6410921379437, 267.40444443740085, 259.9855605428294, 246.86585874319948, 225.35098696353057, 216.57213127035524, 251.33675263543904, 259.0345182473263, 207.18848915647712, 339.6403018549385, 213.0505541415536, 186.2066762896199, 262.10633830783735, 251.98395177116168, 219.29862167671698, 215.11838247044696, 233.15011833321762, 341.13801088587724, 235.76955473712076, 219.2948581022812, 235.17653752048406, 255.0805052484354, 197.96583419128774, 234.67113208471633, 297.8371289857188, 216.20980670190858, 231.11325053592986, 232.41006963594674, 215.28270850343137, 212.7929461507238, 229.52711965970641, 215.66205738372986, 247.71940231442022, 264.3956949631988, 319.17885851090426, 203.87365854803608, 214.49851547670806, 242.0864726819486, 234.50164699727517, 228.082211933437, 215.01091968129668, 257.77884648303854, 233.75372460128432, 198.20029023607904, 222.9951830332981, 205.79203595448843, 221.73148366048878, 222.36198151470876, 237.43669558236394, 211.90034278881458, 234.41252086339273, 218.25377395318932, 216.21899922068977, 240.9408440847589, 211.38542647095417, 241.75562765232857, 238.9285045487858, 213.59212335621797, 266.81442446334705, 199.9533516360608, 331.1549800735531, 234.0162668105291, 203.66073792576498, 223.48954591907344, 203.14039031099833, 248.00683207826535, 324.47023771543587, 218.30661871527786, 217.88580101864233, 229.05943330747385, 234.47516862505836, 220.8417891043389, 284.2678020580854, 251.35262093640227, 208.22461262070652, 214.3050209055865, 197.56103112320528, 221.12667642136716, 210.9843971377108, 206.00342412326128, 213.12121491284864, 266.6202782432563, 222.14127360175468, 214.49750640011158, 238.78723740478438, 222.8700202291415, 241.41649651485156, 260.9412810454466, 226.4065831615921, 215.80797132079167, 230.43294221292047, 203.65661252035582, 262.23883582409684, 348.09760077891633, 217.2341507300058, 255.84694606307423, 200.65285933004733, 247.65437960760315, 243.02653221898348, 194.70569350909096, 220.45352574136908, 264.26046392696077, 219.7682700834165, 228.54640112722285, 226.11652192812124, 279.4711495459055, 226.9692589600818, 209.975400559446, 211.04807224512913, 230.6848094698792, 219.40798677218822, 286.81794832840046, 264.0237422395231, 316.7149524166153, 226.7928178892621, 237.35016205201927, 207.9560047271157, 217.4263797773781, 187.98072438897893, 230.1583662686485, 257.466965188318, 228.1936142711562, 228.83454034941371, 219.48313321992543, 212.8222160872642, 316.5115694962974, 275.3173076056632, 257.4742562785167, 238.5926282493379, 224.27595277760136]",X0,SVR,4.674255847930908,"{'C': 100, 'epsilon': 0.8, 'kernel': 'rbf'}",12.625044462385741,21.100967978895188,0.598740864947571,0.5113699242506711
5,"[216.0, 251.0, 259.0, 225.0, 208.0, 214.0, 292.0, 216.0, 199.0, 228.0, 217.0, 231.0, 230.0, 214.0, 268.0, 221.0, 205.0, 206.0, 221.0, 194.0, 204.0, 252.0, 228.0, 242.0, 259.0, 257.0, 223.0, 213.0, 255.0, 243.0, 201.0, 334.0, 216.0, 192.0, 294.0, 250.0, 239.0, 212.0, 242.0, 382.0, 249.0, 216.0, 203.0, 231.0, 199.0, 250.0, 370.0, 207.0, 261.0, 221.0, 206.0, 225.0, 225.0, 224.0, 254.0, 269.0, 241.0, 203.0, 212.0, 256.0, 234.0, 227.0, 213.0, 236.0, 253.0, 204.0, 228.0, 194.0, 221.0, 231.0, 211.0, 216.0, 216.0, 206.0, 226.0, 244.0, 215.0, 236.0, 226.0, 214.0, 235.0, 206.0, 345.0, 245.0, 215.0, 211.0, 201.0, 290.0, 309.0, 215.0, 220.0, 215.0, 250.0, 218.0, 230.0, 259.0, 216.0, 219.0, 199.0, 207.0, 206.0, 201.0, 217.0, 333.0, 216.0, 209.0, 241.0, 228.0, 245.0, 258.0, 225.0, 213.0, 214.0, 208.0, 254.0, 239.0, 218.0, 260.0, 203.0, 292.0, 205.0, 191.0, 220.0, 229.0, 215.0, 222.0, 227.0, 266.0, 221.0, 220.0, 213.0, 242.0, 212.0, 282.0, 329.0, 290.0, 228.0, 238.0, 205.0, 207.0, 194.0, 220.0, 246.0, 225.0, 225.0, 205.0, 214.0, 241.0, 292.0, 247.0, 245.0, 223.0]","[206.80971832238617, 246.44788950008106, 238.07162627151695, 247.31182525924217, 224.35363213737602, 212.37868373436183, 277.31734239067333, 216.48253124919117, 201.84608506664188, 216.30570199080813, 210.06751586731744, 221.84075911990513, 224.08224476812308, 230.45239212946555, 271.3442993500175, 226.2001307163303, 204.1490708000851, 208.3943290575284, 221.6085187109647, 207.03975095029324, 188.33438254125923, 231.40995354248486, 229.89331456197002, 290.7036204751557, 266.4059211823647, 246.74512554130962, 222.64230953829352, 213.77215879041316, 288.6258517390067, 255.31390975061106, 205.82472310160068, 286.9928153788372, 217.57448113380093, 200.32790938822689, 276.4049315726767, 275.0670481597822, 231.08653895074661, 216.0843572045716, 240.14682167009022, 300.3270089971754, 235.8681094625357, 216.34186764477488, 234.73928133970534, 238.5578409056399, 209.0907516845751, 225.99249993890487, 295.3275751617469, 216.26615836865628, 232.64754910857417, 241.04325550867492, 195.94084167149268, 210.47574132836172, 220.4460236943902, 215.33896972006892, 248.44429265627915, 279.7904987741439, 304.6176033100976, 207.85792280884635, 209.46674683513527, 243.0828847041248, 240.51635637283124, 216.8589370596588, 209.27784790087333, 246.59791715694888, 222.26468942367552, 208.07712778163227, 242.30435115540587, 203.33246332390772, 222.85280292962727, 223.45613583441587, 244.19240590872084, 204.24537973320292, 238.40501813853612, 220.5647058935189, 215.5815284107377, 229.06151621986388, 213.46699847796623, 223.8784233656283, 242.4044913804296, 220.079808358373, 249.48368448694103, 209.08146784234293, 332.550528027983, 236.04615360148685, 209.2157149467248, 221.14090322214136, 214.66869482703717, 229.62082497865356, 273.5345314521422, 218.5380013160301, 217.53125177671888, 219.1899584609433, 235.76366701669846, 221.88657523119298, 272.634454803906, 240.18524523833565, 206.79531142429434, 214.94427912892957, 210.1320241721719, 240.97185446661868, 206.74946681926178, 208.25601986277164, 215.24840258923456, 275.3521467516129, 213.79521875000503, 207.859639367484, 229.75056149699154, 215.59100541925636, 234.20066140478946, 237.89878245723528, 218.86812374039897, 197.80976083027414, 231.8034269412521, 199.35768349969112, 272.84638925940726, 252.18508144174936, 211.4456447267827, 245.55393945807347, 211.38335924783982, 263.670302971926, 244.42873249890326, 199.63275209912229, 212.67662877265752, 248.9467347072332, 222.0284670278007, 227.44703400971497, 229.07369176512123, 288.53593615882886, 237.18436028638638, 210.72836531341392, 216.2862292080586, 216.47771213092156, 213.75774765554758, 278.8558802050325, 289.6104592406982, 273.65979192759534, 213.24196106976217, 221.70722189287073, 210.4420778149134, 209.54546224352043, 197.78504563219, 235.5367273509594, 254.72997567231707, 233.8860629942645, 212.31632442536682, 223.95646406009354, 211.7601943636381, 300.2837015168367, 278.0750964808049, 248.5610307534718, 237.95071086041295, 207.80994270787448]",X1,SVR,3.549345016479492,"{'C': 1000, 'epsilon': 0.8, 'kernel': 'rbf'}",14.00734350699968,20.141422762499495,0.634404815831672,0.5940818175778122
