y_test,y_pred,MAE,RMSE,R^2,adj-R^2,Model,Training_time,Data_number,best_params
194.0,215.4164133738602,12.98009797195235,19.388941443546084,0.7504691755006839,0.6911544713164203,AdaBoostRegressor,12.36083722114563,X0,"[['learning_rate', 0.01], ['n_estimators', 100]]"
194.0,214.7962962962963,17.24549772707857,25.56561895515112,0.5661609635791806,0.518311069856296,AdaBoostRegressor,10.28949737548828,X1,"[['learning_rate', 0.01], ['n_estimators', 100]]"
194.0,214.84797297297297,16.89645067546108,24.8330433135146,0.5906678132525092,0.5455208808906535,AdaBoostRegressor,10.87695050239563,X2,"[['learning_rate', 0.01], ['n_estimators', 100]]"
194.0,215.79298245614035,13.143442944005535,19.8117919489504,0.7394665317925608,0.7042063631629826,AdaBoostRegressor,8.6286039352417,X3,"[['learning_rate', 0.01], ['n_estimators', 100]]"
194.0,216.04697986577185,13.021050491106466,19.03983571551965,0.7593740856788972,0.7288469174441304,AdaBoostRegressor,8.982486248016357,X4,"[['learning_rate', 0.01], ['n_estimators', 100]]"
194.0,212.75,11.148361543427336,17.870363177083647,0.7880259190708578,0.7376386375385207,DecisionTreeRegressor,24.0926513671875,X0,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
194.0,224.0,16.25,28.764698759709653,0.4507935058690305,0.3902192601928207,DecisionTreeRegressor,18.747875928878784,X1,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
194.0,194.5,16.54605263157895,29.16085155063025,0.4355617878249739,0.373307573246846,DecisionTreeRegressor,20.66589903831482,X2,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
194.0,190.66666666666663,10.247749404470932,17.30084697493192,0.8013215637086409,0.7744327527819909,DecisionTreeRegressor,17.916908502578735,X3,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 5]]"
194.0,193.125,8.708549174769674,14.31548958569048,0.8639719682051675,0.8467146805894052,DecisionTreeRegressor,16.559958696365356,X4,"[['criterion', 'squared_error'], ['max_depth', 7], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
194.0,197.3247198190309,17.455436041301112,26.179998672180545,0.5450588261012943,0.4369170716499626,ElasticNet,0.8486239910125732,X0,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
194.0,204.3399138976396,18.330545146710417,27.210806107499582,0.5085279562732621,0.4543214808622248,ElasticNet,0.3137931823730469,X1,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
194.0,204.29879231699277,18.729473351531187,27.59662342989743,0.4944921566231065,0.4387376150741844,ElasticNet,0.4790773391723633,X2,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
194.0,195.57922093344305,18.63733717929008,27.05683370920592,0.5140742109998284,0.4483098185035645,ElasticNet,0.2871768474578857,X3,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
194.0,200.3634563171427,18.073492334346213,27.56919965867583,0.4954963405902061,0.4314921449934411,ElasticNet,0.2800500392913818,X4,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
194.0,193.3525808185445,17.8755871958915,26.03794316850193,0.5499825514339095,0.443011190709183,LinearRegression,0.5321118831634521,X0,"[['fit_intercept', True]]"
194.0,198.71298417284777,18.438866060370064,27.049212853218748,0.5143479051784445,0.4607833358966553,LinearRegression,0.0307035446166992,X1,"[['fit_intercept', True]]"
194.0,199.31116425507184,18.744671233497183,27.343856182237907,0.5037099984029793,0.4489721305797785,LinearRegression,0.0473086833953857,X2,"[['fit_intercept', True]]"
194.0,193.88570358614527,18.731726625075424,27.17154192774815,0.509945284667533,0.4436220901112592,LinearRegression,0.0384354591369628,X3,"[['fit_intercept', True]]"
194.0,199.96100046883043,18.016521670997072,26.898915515935837,0.5197299049167807,0.4588001167345812,LinearRegression,0.02764892578125,X4,"[['fit_intercept', True]]"
194.0,199.36,8.267843557080345,13.887809014418972,0.8719783340417145,0.8415469544286794,RandomForestRegressor,358.2950973510742,X0,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
194.0,202.86,12.84442303833562,20.78859068309875,0.7131425720358002,0.681503885127984,RandomForestRegressor,256.40137100219727,X1,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
194.0,200.95,12.842894736842108,20.94192825912949,0.7088952187851497,0.6767880737982177,RandomForestRegressor,266.47928857803345,X2,"[['bootstrap', True], ['max_depth', None], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
194.0,203.86,8.942078527284119,15.371873620708325,0.8431553844360247,0.8219282936078175,RandomForestRegressor,187.0207974910736,X3,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
194.0,199.27,7.524764075653877,12.87124702314798,0.8900342972106045,0.8760834244686662,RandomForestRegressor,183.3610751628876,X4,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
194.0,197.3462448124559,10.619709170833616,17.821960247758607,0.7891726524891302,0.739057955129989,SVR,24.79387617111206,X0,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
