년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원),열대야일수,폭염일수,한파일수
2024,1,부산광역시,전체,1768983,243,34755,0,0,0
2024,2,부산광역시,전체,1772699,242,34557,0,0,0
2024,3,부산광역시,전체,1776944,219,29933,0,0,0
2024,4,부산광역시,전체,1777635,220,30140,0,0,0
2024,5,부산광역시,전체,1778034,204,27059,0,0,0
2024,6,부산광역시,전체,1780456,213,28761,0,0,0
2024,7,부산광역시,전체,1781988,250,34155,10,0,0
2024,8,부산광역시,전체,1783171,359,43332,29,15,0
2024,9,부산광역시,전체,1784735,355,44686,16,7,0
2024,10,부산광역시,전체,1785593,251,37009,0,0,0
2024,11,부산광역시,전체,1787503,214,28665,0,0,0
2024,12,부산광역시,전체,1788413,220,30004,0,0,0
2015,1,대구광역시,전체,1096699,253,34078,0,0,0
2015,2,대구광역시,전체,1097876,247,32514,0,0,0
2015,3,대구광역시,전체,1098950,220,25822,0,0,0
2015,4,대구광역시,전체,1102292,227,27401,0,0,0
2015,5,대구광역시,전체,1103860,209,23602,0,2,0
2015,6,대구광역시,전체,1106521,212,24250,0,2,0
2015,7,대구광역시,전체,1108467,212,23504,8,6,0
2015,8,대구광역시,전체,1112356,283,40956,2,11,0
2015,9,대구광역시,전체,1118526,223,25634,0,0,0
2015,10,대구광역시,전체,1121512,203,22244,0,0,0
2015,11,대구광역시,전체,1125525,218,25720,0,0,0
2015,12,대구광역시,전체,1129439,227,27748,0,0,0
2016,1,대구광역시,전체,1133232,242,31649,0,0,1
2016,2,대구광역시,전체,1138593,245,32548,0,0,0
2016,3,대구광역시,전체,1141162,219,26028,0,0,0
2016,4,대구광역시,전체,1143613,219,25953,0,0,0
2016,5,대구광역시,전체,1146168,203,22590,0,0,0
2016,6,대구광역시,전체,1149660,206,23452,0,1,0
2016,7,대구광역시,전체,1153750,221,26834,5,10,0
2016,8,대구광역시,전체,1156782,297,47988,9,21,0
2016,9,대구광역시,전체,1158525,244,16561,0,0,0
2016,10,대구광역시,전체,1160062,203,21082,0,0,0
2016,11,대구광역시,전체,1165313,214,24978,0,0,0
2016,12,대구광역시,전체,1165840,221,25079,0,0,0
2017,1,대구광역시,전체,1170692,235,25828,0,0,0
2017,2,대구광역시,전체,1171845,237,26229,0,0,0
2017,3,대구광역시,전체,1172737,207,20179,0,0,0
2017,4,대구광역시,전체,1177330,216,22175,0,0,0
2017,5,대구광역시,전체,1178188,200,19372,0,2,0
