Year,Month,Province,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days
2018,3,Ulsan,555132,213,21908,0,0,0
2018,4,Ulsan,556298,220,23197,0,0,0
2018,5,Ulsan,557013,206,20644,0,0,0
2018,6,Ulsan,557349,211,21507,0,1,0
2018,7,Ulsan,557593,231,25036,12,14,0
2018,8,Ulsan,558544,338,39625,10,8,0
2018,9,Ulsan,559903,254,22797,0,0,0
2018,10,Ulsan,562808,204,20079,0,0,0
2018,11,Ulsan,568179,210,21482,0,0,0
2018,12,Ulsan,569296,218,22825,0,0,0
2019,1,Ulsan,569546,238,26615,0,0,0
2019,2,Ulsan,571730,236,26190,0,0,0
2019,3,Ulsan,572884,205,20591,0,0,0
2019,4,Ulsan,573741,216,22682,0,0,0
2019,5,Ulsan,575284,201,20007,0,0,0
2019,6,Ulsan,575609,205,20601,0,0,0
2019,7,Ulsan,575573,208,19436,5,2,0
2019,8,Ulsan,575850,290,30368,8,6,0
2019,9,Ulsan,576225,267,28452,1,0,0
2019,10,Ulsan,576246,213,21661,0,0,0
2019,11,Ulsan,576499,213,21716,0,0,0
2019,12,Ulsan,576433,221,23014,0,0,0
2020,1,Ulsan,576430,238,26351,0,0,0
2020,2,Ulsan,576344,242,27015,0,0,0
2020,3,Ulsan,576392,228,24385,0,0,0
2020,4,Ulsan,577010,232,25373,0,0,0
2020,5,Ulsan,577013,215,22304,0,0,0
2020,6,Ulsan,576940,217,22517,0,0,0
2020,7,Ulsan,577954,220,21499,0,0,0
2020,8,Ulsan,577690,268,26525,13,11,0
2020,9,Ulsan,577620,313,37326,1,0,0
2020,10,Ulsan,577815,215,21936,0,0,0
2020,11,Ulsan,578499,220,22864,0,0,0
2020,12,Ulsan,578726,229,24542,0,0,0
2021,1,Ulsan,578261,259,29626,0,0,1
2021,2,Ulsan,579012,253,28340,0,0,0
2021,3,Ulsan,578846,217,21677,0,0,0
2021,4,Ulsan,578899,226,23538,0,0,0
2021,5,Ulsan,578805,213,21252,0,0,0
2021,6,Ulsan,578214,220,22307,0,0,0
2021,7,Ulsan,577891,235,23330,1,2,0
2021,8,Ulsan,578043,324,36614,2,5,0
2021,9,Ulsan,578194,269,28067,0,0,0
2021,10,Ulsan,578757,223,23795,0,0,0
2021,11,Ulsan,578620,225,24164,0,0,0
2021,12,Ulsan,579143,228,24653,0,0,0
2022,1,Ulsan,579319,251,29052,0,0,0
2022,2,Ulsan,570267,254,30083,0,0,0
2022,3,Ulsan,570228,223,24321,0,0,0
2022,4,Ulsan,570590,231,24950,0,0,0
2022,5,Ulsan,570404,210,22038,0,0,0
2022,6,Ulsan,570296,216,23054,1,0,0
2022,7,Ulsan,570177,265,29920,5,2,0
2022,8,Ulsan,570897,321,36591,14,8,0
2022,9,Ulsan,573857,280,31164,0,0,0
2022,10,Ulsan,573803,216,23748,0,0,0
2022,11,Ulsan,574618,218,25258,0,0,0
2022,12,Ulsan,574405,225,26496,0,0,0
2023,1,Ulsan,574389,250,32455,0,0,1
2023,2,Ulsan,574333,248,34227,0,0,0
2023,3,Ulsan,574955,211,26918,0,0,0
2023,4,Ulsan,575727,218,28448,0,0,0
2023,5,Ulsan,577656,207,26418,0,0,0
2023,6,Ulsan,579297,215,29085,0,0,0
2023,7,Ulsan,580565,239,32534,2,2,0
2023,8,Ulsan,580493,325,47356,3,4,0
2023,9,Ulsan,580589,300,43928,0,0,0
2023,10,Ulsan,581196,224,31130,0,0,0
2023,11,Ulsan,581675,214,29376,0,0,0
2023,12,Ulsan,581868,225,31366,0,0,0
2024,1,Ulsan,584146,245,35734,0,0,0
2024,2,Ulsan,584381,247,36095,0,0,0
2024,3,Ulsan,584959,224,31180,0,0,0
2024,4,Ulsan,585030,224,31418,0,0,0
2024,5,Ulsan,585610,208,28271,0,0,0
2024,6,Ulsan,585131,214,29694,0,1,0
2024,7,Ulsan,585200,254,35698,13,7,0
2024,8,Ulsan,585839,370,42360,7,10,0
2024,9,Ulsan,587318,353,56290,3,5,0
2024,10,Ulsan,587424,256,38007,0,0,0
2024,11,Ulsan,587679,220,30153,0,0,0
2024,12,Ulsan,588430,224,31160,0,0,0
2015,1,Seoul,4365397,248,34809,0,0,0
2015,2,Seoul,4369346,242,33000,0,0,1
2015,3,Seoul,4369258,214,26309,0,0,0
2015,4,Seoul,4373778,223,28192,0,0,0
2015,5,Seoul,4378279,208,24867,0,0,0
2015,6,Seoul,4381376,216,26963,0,1,0
2015,7,Seoul,4382767,229,29243,7,4,0
2015,8,Seoul,4384681,278,42880,5,3,0
2015,9,Seoul,4390197,239,31003,0,0,0
2015,10,Seoul,4389707,207,24366,0,0,0
2015,11,Seoul,4392491,218,27155,0,0,0
2015,12,Seoul,4394879,227,29151,0,0,0
2016,1,Seoul,4399911,242,33041,0,0,5
2016,2,Seoul,4404389,245,33790,0,0,0
2016,3,Seoul,4410047,219,27362,0,0,0
2016,4,Seoul,4414548,219,27199,0,0,0
2016,5,Seoul,4421494,206,24417,0,0,0
2016,6,Seoul,4427182,215,26747,0,0,0
2016,7,Seoul,4431201,235,32209,10,4,0
2016,8,Seoul,4439018,315,56756,22,20,0
2016,9,Seoul,4443438,262,23543,0,0,0
2016,10,Seoul,4446447,206,22614,0,0,0
2016,11,Seoul,4456103,214,26111,0,0,0
2016,12,Seoul,4462272,222,26227,0,0,0
2017,1,Seoul,4468653,236,26914,0,0,1
2017,2,Seoul,4471467,238,27294,0,0,0
2017,3,Seoul,4478389,208,21336,0,0,0
2017,4,Seoul,4482548,216,22995,0,0,0
2017,5,Seoul,4489360,202,20586,0,0,0
2017,6,Seoul,4492219,210,21738,0,1,0
2017,7,Seoul,4495876,248,29346,10,5,0
2017,8,Seoul,4504246,300,40599,9,7,0
2017,9,Seoul,4513796,233,25903,0,0,0
2017,10,Seoul,4517074,203,20657,0,0,0
2017,11,Seoul,4524785,213,22346,0,0,0
2017,12,Seoul,4529914,228,25043,0,0,2
2018,1,Seoul,4535178,245,28223,0,0,7
2018,2,Seoul,4539683,247,28714,0,0,3
2018,3,Seoul,4544889,211,21900,0,0,0
2018,4,Seoul,4554272,216,22830,0,0,0
2018,5,Seoul,4562357,203,20585,0,0,0
2018,6,Seoul,4568233,213,22340,0,0,0
2018,7,Seoul,4575584,245,28742,12,16,0
2018,8,Seoul,4591968,371,49154,17,19,0
2018,9,Seoul,4599038,261,25066,0,0,0
2018,10,Seoul,4598825,201,19978,0,0,0
2018,11,Seoul,4608670,211,21876,0,0,0
2018,12,Seoul,4613070,222,23758,0,0,1
2019,1,Seoul,4617350,240,27166,0,0,0
2019,2,Seoul,4620355,234,25948,0,0,0
2019,3,Seoul,4634329,205,20679,0,0,0
2019,4,Seoul,4643126,215,22429,0,0,0
2019,5,Seoul,4649911,200,19908,0,1,0
2019,6,Seoul,4657690,207,21099,0,0,0
2019,7,Seoul,4667648,229,22911,6,4,0
2019,8,Seoul,4677003,308,35502,11,10,0
2019,9,Seoul,4686246,261,28926,0,0,0
2019,10,Seoul,4689110,207,20986,0,0,0
2019,11,Seoul,4696180,208,21278,0,0,0
2019,12,Seoul,4700507,220,23309,0,0,0
2020,1,Seoul,4705280,234,26193,0,0,0
2020,2,Seoul,4707557,233,26031,0,0,0
2020,3,Seoul,4714415,220,23630,0,0,0
2020,4,Seoul,4723785,222,23921,0,0,0
2020,5,Seoul,4731749,208,21524,0,0,0
2020,6,Seoul,4738702,222,24056,0,2,0
2020,7,Seoul,4746749,238,24826,0,0,0
2020,8,Seoul,4751818,276,29781,13,2,0
2020,9,Seoul,4756152,287,34306,0,0,0
2020,10,Seoul,4763625,210,21730,0,0,0
2020,11,Seoul,4772339,216,22803,0,0,0
2020,12,Seoul,4774486,231,25610,0,0,2
2021,1,Seoul,4777855,257,30216,0,0,5
2021,2,Seoul,4784548,245,27807,0,0,0
2021,3,Seoul,4787473,211,21305,0,0,0
2021,4,Seoul,4793381,216,22312,0,0,0
2021,5,Seoul,4798550,206,20498,0,0,0
2021,6,Seoul,4803182,218,22594,0,0,0
2022,1,Seoul,3995818,233,27293,0,0,0
2022,2,Seoul,4761227,245,29316,0,0,0
2022,3,Seoul,4764225,218,23943,0,0,0
2022,4,Seoul,4768114,220,23731,0,0,0
2022,5,Seoul,4770008,202,21156,0,0,0
2022,6,Seoul,4773180,214,23177,2,0,0
2022,7,Seoul,4779332,277,32985,10,10,0
2022,8,Seoul,4786966,329,40713,12,0,0
2022,9,Seoul,4790550,261,29601,0,0,0
2022,10,Seoul,4795050,213,24285,0,0,0
2022,11,Seoul,4801628,212,24904,0,0,0
2022,12,Seoul,4803896,225,27243,0,0,4
2023,1,Seoul,4807229,247,33227,0,0,2
2023,2,Seoul,4813757,238,32909,0,0,0
2023,3,Seoul,4818859,204,26256,0,0,0
2023,4,Seoul,4821114,210,27168,0,0,0
2023,5,Seoul,4825130,201,25795,0,0,0
2023,6,Seoul,4828850,216,29845,1,2,0
2023,7,Seoul,4834192,266,38599,9,6,0
2023,8,Seoul,4838055,340,52895,14,11,0
2023,9,Seoul,4843078,292,43930,1,0,0
2023,10,Seoul,4848664,216,28357,0,0,0
2023,11,Seoul,4857156,211,29064,0,0,0
2023,12,Seoul,4870737,224,27903,0,0,5
2024,1,Seoul,4874414,242,31450,0,0,1
2024,2,Seoul,4877485,235,30234,0,0,0
2024,3,Seoul,4880106,213,29629,0,0,0
2024,4,Seoul,4882040,211,29231,0,0,0
2024,5,Seoul,4885748,198,26766,0,0,0
2024,6,Seoul,4890087,218,26717,1,4,0
2024,7,Seoul,4890640,267,29916,13,2,0
2024,8,Seoul,4893594,364,17000,25,21,0
2024,9,Seoul,4897255,346,16221,9,6,0
2024,10,Seoul,4902482,236,30340,0,0,0
2024,11,Seoul,4911167,207,28440,0,0,0
2024,12,Seoul,4916320,219,31022,0,0,0
2021,7,Seoul,4809953,270,30938,17,15,0
2021,8,Seoul,4810246,362,47660,4,3,0
2021,9,Seoul,4814257,259,28247,0,0,0
2021,10,Seoul,4816654,218,23838,0,0,0
2021,11,Seoul,4820320,217,23609,0,0,0
2021,12,Seoul,4825957,225,25115,0,0,3
