Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2017-04-01,Busan,1608674,228,24170,0,0,0,2017,4,15.0,19.0,11.4,1004.8,1013.0,10.8,7.3,64,105.1,157.1,3.8,15.3,4.5,192.6,52.69,553.35,9.0,17.8
2017-05-01,Busan,1612704,207,20568,0,0,0,2017,5,19.0,23.7,15.4,1004.3,1012.4,13.7,11.1,63,39.2,197.7,3.3,9.6,4.6,296.2,70.36,672.18,13.2,23.7
2017-06-01,Busan,1615405,207,20445,0,0,0,2017,6,21.3,25.2,18.4,1001.0,1009.0,17.8,15.3,70,49.8,173.1,2.9,8.1,5.2,269.4,62.03,636.71,16.4,26.8
2017-07-01,Busan,1616132,235,25430,5,0,0,2017,7,26.1,29.2,23.6,1000.7,1008.6,27.5,22.6,82,172.1,157.3,3.5,11.4,6.8,196.7,44.49,553.72,22.9,29.9
2017-08-01,Busan,1617783,286,35934,14,6,0,2017,8,27.0,30.5,24.3,999.7,1007.5,26.2,21.5,74,82.5,166.8,2.9,9.5,6.2,227.2,54.48,511.56,22.4,30.4
2017-09-01,Busan,1622926,239,26167,0,0,0,2017,9,22.6,26.5,19.6,1004.4,1012.3,18.8,16.2,69,335.0,140.2,2.8,8.8,5.4,213.6,57.42,421.36,16.5,24.3
2017-10-01,Busan,1624934,206,20312,0,0,0,2017,10,18.1,22.3,15.1,1011.1,1019.3,14.4,11.6,68,138.3,109.3,2.9,9.6,5.9,179.6,51.24,299.12,12.2,18.4
2017-11-01,Busan,1627778,216,22036,0,0,0,2017,11,11.2,16.3,6.9,1013.1,1021.5,7.0,0.4,49,0.3,106.9,2.9,8.9,3.4,240.7,77.55,279.14,2.2,11.5
2017-12-01,Busan,1629481,230,24623,0,0,0,2017,12,3.6,8.6,-0.7,1015.4,1024.1,3.4,-9.5,40,10.6,93.5,3.0,11.8,2.2,252.0,82.57,304.82,-4.9,3.6
2018-01-01,Busan,1630028,251,28548,0,0,0,2018,1,1.9,6.5,-1.9,1013.4,1022.1,3.5,-9.9,45,40.9,83.7,3.1,11.4,3.5,227.3,72.55,311.47,-4.9,2.8
2018-02-01,Busan,1632549,254,29166,0,0,0,2018,2,3.9,8.9,-0.2,1013.2,1021.9,3.8,-8.9,42,52.5,98.0,3.5,12.1,3.6,226.9,74.2,349.31,-3.4,5.7
2018-03-01,Busan,1634902,217,22290,0,0,0,2018,3,10.0,14.5,6.0,1011.2,1019.6,7.8,2.5,63,206.1,107.6,3.9,12.5,4.2,213.1,57.41,325.17,3.6,11.4
2018-04-01,Busan,1636437,224,23408,0,0,0,2018,4,14.5,18.7,11.1,1007.5,1015.7,10.4,6.7,63,156.4,135.1,4.0,14.3,4.8,245.8,62.67,421.12,8.5,18.0
2018-05-01,Busan,1640316,209,20747,0,0,0,2018,5,17.8,21.5,15.0,1003.9,1012.0,14.9,12.3,73,155.8,80.8,3.8,13.3,6.2,216.5,49.83,265.31,12.4,21.2
2018-06-01,Busan,1641703,212,21256,0,0,0,2018,6,21.5,25.2,18.9,1000.4,1008.4,19.1,16.5,75,276.7,154.1,3.1,12.5,6.3,198.9,47.38,563.45,16.9,26.3
2018-07-01,Busan,1642751,239,26315,17,9,0,2018,7,26.7,30.2,23.9,1000.8,1008.7,26.9,22.2,78,122.1,128.8,3.0,8.3,4.4,283.4,64.07,446.43,22.5,32.9
2018-08-01,Busan,1646890,334,37124,20,9,0,2018,8,27.9,31.3,25.3,1000.1,1007.9,27.9,22.7,75,169.7,128.8,3.5,15.5,5.3,260.0,62.31,446.43,23.4,33.2
2018-09-01,Busan,1649343,251,23816,0,0,0,2018,9,21.9,25.3,19.5,1004.7,1012.7,20.1,17.2,76,308.4,62.3,3.0,9.7,7.2,142.1,38.18,202.97,16.9,23.6
2018-10-01,Busan,1649959,206,20063,0,0,0,2018,10,16.4,21.1,13.0,1009.5,1017.7,11.8,8.8,62,123.7,121.3,2.0,19.2,3.7,245.8,70.05,443.16,7.4,18.3
2018-11-01,Busan,1655757,213,21502,0,0,0,2018,11,12.4,17.5,8.9,1014.1,1022.5,8.4,3.4,57,107.3,99.8,2.3,11.7,3.3,214.0,68.9,334.54,2.0,12.3
2018-12-01,Busan,1656282,225,23470,0,0,0,2018,12,5.7,10.1,2.0,1016.3,1025.0,5.2,-5.5,49,59.0,89.9,2.9,8.8,4.3,194.0,63.59,292.19,-2.8,5.4
2019-01-01,Busan,1658875,246,27453,0,0,0,2019,1,4.5,9.6,0.5,1015.0,1023.7,3.4,-9.2,39,12.7,109.4,3.1,8.2,3.1,240.4,76.76,358.64,-4.8,5.2
2019-02-01,Busan,1660736,244,26971,0,0,0,2019,2,6.6,11.3,2.7,1013.7,1022.3,5.1,-4.1,50,51.5,98.7,2.9,9.5,5.3,201.9,66.05,379.2,-1.5,7.5
