Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2024-11-01,Busan,1787503,214,28665,0,0,0,2024,11,13.7,18.3,10.4,1012.4,1020.8,9.8,5.5,60,99.1,109.3,3.2,10.7,3.7,176.9,57.03,322.67,4.3,13.1
2024-12-01,Busan,1788413,220,30004,0,0,0,2024,12,5.7,10.5,2.0,1013.0,1021.6,4.1,-6.3,43,0.0,109.3,3.4,10.7,2.4,244.1,80.03,347.86,-4.5,5.0
2015-01-01,Daegu,1096699,253,34078,0,0,0,2015,1,2.3,6.8,-1.7,1016.4,1024.5,4.2,-6.3,57,24.1,119.9,2.0,7.3,4.8,207.9,66.81,310.82,-7.3,1.4
2015-02-01,Daegu,1097876,247,32514,0,0,0,2015,2,3.8,9.0,-0.6,1014.4,1022.4,4.3,-5.8,53,14.6,119.9,2.3,7.5,4.8,195.5,64.2,356.27,-5.6,4.4
2015-03-01,Daegu,1098950,220,25822,0,0,0,2015,3,9.2,15.5,3.3,1013.6,1021.4,5.3,-3.7,46,50.5,119.9,2.2,8.0,4.8,271.4,73.19,566.32,-2.1,10.7
2015-04-01,Daegu,1102292,227,27401,0,0,0,2015,4,14.6,20.2,9.5,1009.3,1016.9,9.8,5.9,63,82.7,119.9,2.3,7.4,4.8,184.9,47.06,488.72,4.9,16.6
2015-05-01,Daegu,1103860,209,23602,0,2,0,2015,5,21.7,28.0,15.4,1002.7,1010.1,12.0,8.9,49,34.7,119.9,2.0,7.3,4.8,309.6,71.01,750.05,9.6,25.4
2015-06-01,Daegu,1106521,212,24250,0,2,0,2015,6,22.9,28.5,18.3,1000.9,1007.1,17.7,15.2,66,62.1,119.9,2.3,6.7,4.8,159.7,36.55,534.92,15.3,28.7
2015-07-01,Daegu,1108467,212,23504,8,6,0,2015,7,25.0,29.5,21.3,1001.2,1006.8,22.5,19.1,72,157.5,119.9,2.4,7.7,6.8,150.2,33.8,484.24,20.3,29.1
2015-08-01,Daegu,1112356,283,40956,2,11,0,2015,8,26.0,31.2,22.0,1002.3,1007.9,24.3,20.5,75,269.5,119.9,1.7,8.5,5.8,178.0,42.5,500.66,21.5,30.1
2015-09-01,Daegu,1118526,223,25634,0,0,0,2015,9,20.6,25.9,16.2,1007.9,1013.6,18.3,15.9,77,70.3,119.9,1.8,6.6,4.9,197.9,53.06,455.78,14.0,25.4
2015-10-01,Daegu,1121512,203,22244,0,0,0,2015,10,15.8,22.2,10.4,1012.1,1017.9,12.0,9.0,68,38.1,119.9,1.9,8.9,2.5,253.9,72.5,436.43,6.2,19.4
2015-11-01,Daegu,1125525,218,25720,0,0,0,2015,11,11.0,15.0,7.6,1016.5,1022.4,10.7,7.2,80,70.9,119.9,1.9,7.6,7.0,93.0,30.1,191.6,5.3,12.2
2015-12-01,Daegu,1129439,227,27748,0,0,0,2015,12,4.5,9.0,0.5,1018.0,1024.1,6.0,-1.3,69,33.5,119.9,1.9,8.0,4.4,160.0,52.81,224.17,-3.6,5.0
2016-01-01,Daegu,1133232,242,31649,0,0,1,2016,1,-0.2,4.3,-4.2,1017.3,1023.5,3.6,-8.3,58,23.8,119.9,2.1,10.8,3.7,195.2,62.77,265.94,-8.3,0.3
2016-02-01,Daegu,1138593,245,32548,0,0,0,2016,2,3.1,8.3,-1.6,1016.9,1023.1,4.3,-6.5,52,15.5,119.9,2.4,8.9,3.6,206.0,65.25,352.07,-5.4,4.2
2016-03-01,Daegu,1141162,219,26028,0,0,0,2016,3,8.8,14.5,3.5,1014.5,1020.5,6.2,-1.1,55,67.5,119.9,2.2,7.5,4.5,205.4,55.26,459.3,-0.2,11.2
2016-04-01,Daegu,1143613,219,25953,0,0,0,2016,4,14.9,21.0,9.5,1007.3,1013.1,9.7,5.9,61,151.0,119.9,2.5,12.1,5.2,198.4,50.38,507.0,6.2,17.0
2016-05-01,Daegu,1146168,203,22590,0,0,0,2016,5,20.0,26.7,13.6,1005.4,1011.1,13.1,10.5,59,65.0,119.9,2.3,11.6,4.3,275.1,63.0,655.45,9.8,24.0
2016-06-01,Daegu,1149660,206,23452,0,1,0,2016,6,23.4,28.3,19.1,1001.7,1007.3,18.6,16.1,67,45.7,119.9,2.2,7.6,6.2,182.3,41.71,524.66,16.6,28.5
2016-07-01,Daegu,1153750,221,26834,5,10,0,2016,7,26.4,31.5,22.6,1002.1,1007.7,24.5,20.6,73,307.3,161.2,2.0,7.7,7.0,173.4,39.05,516.26,21.6,31.7
2016-08-01,Daegu,1156782,297,47988,9,21,0,2016,8,27.6,33.2,23.2,999.7,1005.2,23.4,19.7,65,81.2,209.9,2.3,10.3,4.2,263.1,62.94,598.37,21.6,34.0
2016-09-01,Daegu,1158525,244,16561,0,0,0,2016,9,21.9,25.9,18.7,1007.3,1013.0,20.6,17.7,79,306.5,95.1,1.6,6.4,7.8,98.1,26.36,325.16,17.4,24.7
2016-10-01,Daegu,1160062,203,21082,0,0,0,2016,10,16.6,21.0,13.1,1012.6,1018.5,14.4,11.7,75,111.5,86.8,1.7,7.7,6.4,127.9,36.61,304.1,10.0,18.6
2016-11-01,Daegu,1165313,214,24978,0,0,0,2016,11,8.8,14.0,4.1,1016.1,1022.1,7.3,0.9,62,11.3,79.2,1.9,7.6,4.1,175.2,56.77,278.14,-0.4,9.6
2016-12-01,Daegu,1165840,221,25079,0,0,0,2016,12,4.0,8.7,-0.6,1017.3,1023.4,4.9,-4.5,58,41.0,68.4,2.1,8.8,4.1,177.2,58.48,240.44,-5.0,4.0
2017-01-01,Daegu,1170692,235,25828,0,0,0,2017,1,1.1,6.3,-3.7,1017.5,1023.7,3.5,-8.9,52,2.5,74.0,2.5,9.9,2.8,214.2,68.76,301.04,-8.8,1.3
2017-02-01,Daegu,1171845,237,26229,0,0,0,2017,2,3.2,8.8,-2.2,1015.4,1021.6,3.6,-8.6,46,25.7,97.3,2.8,9.4,3.0,223.5,73.25,381.1,-7.1,4.1
2017-03-01,Daegu,1172737,207,20179,0,0,0,2017,3,7.9,13.9,2.4,1012.4,1018.4,5.0,-3.8,50,38.4,132.3,2.3,9.3,4.2,235.4,63.4,490.83,-2.1,10.1
2017-04-01,Daegu,1177330,216,22175,0,0,0,2017,4,15.7,22.0,9.6,1006.3,1012.6,8.7,4.0,52,53.0,184.6,2.3,7.8,4.2,241.3,61.32,575.09,5.2,18.0
2017-05-01,Daegu,1178188,200,19372,0,2,0,2017,5,20.8,27.5,14.5,1005.6,1011.8,12.1,9.0,52,33.1,232.3,2.3,9.4,4.0,283.6,65.02,668.09,10.1,26.1
2017-06-01,Daegu,1179007,204,20025,0,6,0,2017,6,23.3,30.0,17.9,1002.3,1008.4,16.4,13.9,60,71.5,218.3,2.4,7.7,5.0,257.2,58.87,664.08,16.1,30.3
2017-07-01,Daegu,1181549,241,26651,12,16,0,2017,7,28.0,32.8,24.0,1001.8,1007.8,27.1,22.3,75,105.3,154.8,1.9,8.2,6.9,139.3,31.37,475.51,22.9,31.5
2017-08-01,Daegu,1185342,282,34795,7,9,0,2017,8,26.4,31.4,22.5,1001.6,1007.6,25.4,20.9,75,171.3,169.5,2.2,7.4,6.1,205.7,49.16,535.56,21.0,30.0
2017-09-01,Daegu,1187956,230,24544,0,0,0,2017,9,21.5,27.0,16.4,1006.7,1012.9,17.0,14.6,68,97.5,144.8,1.8,7.5,4.8,216.0,58.03,473.31,12.9,25.8
2017-10-01,Daegu,1190195,200,19209,0,0,0,2017,10,16.2,21.2,12.0,1014.0,1020.3,13.2,10.2,71,54.3,99.4,1.8,8.2,5.8,154.5,44.17,339.76,8.6,18.2
2017-11-01,Daegu,1191551,212,21322,0,0,0,2017,11,7.8,14.2,2.3,1015.6,1022.2,5.7,-2.3,53,0.1,97.1,2.0,9.1,3.1,224.8,72.77,321.59,-3.9,8.5
2017-12-01,Daegu,1191330,226,23699,0,0,0,2017,12,0.7,5.8,-4.0,1018.2,1025.0,3.0,-10.6,46,11.0,76.7,2.6,8.8,2.9,226.1,74.62,285.63,-9.6,0.9
2018-01-01,Daegu,1191886,243,26766,0,0,4,2018,1,-0.9,4.0,-5.2,1016.4,1023.2,3.0,-11.4,49,21.1,67.8,2.5,9.1,3.9,216.3,69.46,311.43,-9.6,-0.3
2018-02-01,Daegu,1192444,245,27196,0,0,0,2018,2,1.3,7.1,-4.2,1015.8,1022.5,2.8,-12.3,40,25.1,86.3,2.5,9.6,3.6,209.0,68.55,356.28,-9.8,1.8
2018-03-01,Daegu,1195718,212,21102,0,0,0,2018,3,9.2,15.6,3.3,1013.5,1020.0,6.8,0.5,60,98.7,122.8,2.3,10.5,4.3,219.3,59.09,470.41,-0.6,10.2
2018-04-01,Daegu,1195906,217,21995,0,0,0,2018,4,15.0,21.4,8.9,1009.1,1015.5,8.3,3.4,52,113.0,180.0,2.6,8.8,4.6,247.6,62.97,559.89,5.2,17.9
2018-05-01,Daegu,1197426,202,19567,0,0,0,2018,5,19.2,24.8,14.2,1005.4,1011.6,13.5,10.5,62,99.7,180.0,2.4,9.5,6.1,203.8,46.74,569.94,11.3,22.5
2018-06-01,Daegu,1199095,210,20753,0,4,0,2018,6,23.6,28.7,18.7,1001.9,1008.0,16.6,14.1,60,121.1,189.0,2.2,7.7,6.1,201.5,46.12,575.54,16.5,27.7
2018-07-01,Daegu,1201754,241,26519,17,21,0,2018,7,28.2,33.1,24.0,1002.6,1008.6,24.1,20.3,66,169.6,195.5,2.2,7.0,5.1,225.4,50.72,583.52,22.5,33.2
2018-08-01,Daegu,1202927,354,41611,9,15,0,2018,8,27.7,32.9,23.7,1001.7,1007.8,24.3,20.5,68,334.2,193.9,2.4,8.0,5.8,219.8,52.51,544.94,22.7,32.1
2018-09-01,Daegu,1203337,246,20920,0,0,0,2018,9,21.0,25.4,17.2,1007.2,1013.3,17.4,14.9,71,109.0,124.7,1.9,7.1,6.7,142.6,38.26,391.07,15.4,23.0
2018-10-01,Daegu,1202555,201,18968,0,0,0,2018,10,14.3,20.0,9.3,1012.0,1018.4,10.1,6.3,63,165.1,119.4,1.8,9.0,3.6,238.8,68.21,417.44,5.1,16.3
2018-11-01,Daegu,1204711,213,21145,0,0,0,2018,11,8.8,15.2,3.3,1016.7,1023.3,7.1,0.9,63,17.2,74.6,1.3,7.7,3.5,186.2,60.26,290.08,-2.2,9.1
2018-12-01,Daegu,1205713,225,23020,0,0,0,2018,12,2.0,7.0,-2.3,1019.6,1026.4,3.9,-8.5,50,23.8,69.8,2.1,8.8,4.0,185.0,61.06,260.56,-6.6,2.1
2019-01-01,Daegu,1205130,243,26225,0,0,0,2019,1,1.7,7.3,-3.5,1018.2,1025.0,3.0,-10.6,44,9.5,86.8,2.3,8.6,3.0,228.9,73.55,319.27,-9.1,1.4
2019-02-01,Daegu,1205636,239,25645,0,0,0,2019,2,4.0,9.1,-0.9,1016.6,1023.3,3.9,-7.7,47,26.2,84.3,2.1,7.7,5.0,193.9,63.68,345.66,-5.2,4.3
2019-03-01,Daegu,1205500,208,20204,0,0,0,2019,3,9.4,15.5,3.6,1010.1,1016.6,5.7,-1.7,50,20.7,136.2,2.4,8.5,4.8,235.8,63.56,500.7,-1.2,11.2
2019-04-01,Daegu,1205432,218,21926,0,0,0,2019,4,13.5,19.4,8.0,1008.5,1014.9,7.9,2.1,52,88.0,139.7,2.2,7.9,5.4,188.1,49.51,480.63,3.5,16.1
2019-05-01,Daegu,1206690,203,19421,0,2,0,2019,5,20.7,27.5,13.6,1005.4,1011.6,10.5,6.8,47,25.7,246.1,2.1,7.9,4.4,295.6,67.8,702.36,9.1,24.6
2019-06-01,Daegu,1206197,208,20086,0,5,0,2019,6,22.8,28.5,17.8,1000.9,1007.1,17.3,14.9,65,160.8,186.9,2.1,7.4,5.8,238.9,54.68,620.6,15.3,27.3
2019-07-01,Daegu,1204857,217,19686,8,6,0,2019,7,25.8,30.0,22.3,1000.5,1006.7,24.7,20.7,76,139.4,144.6,1.9,7.3,7.4,156.3,35.17,487.33,20.5,28.3
2019-08-01,Daegu,1203712,303,31675,13,16,0,2019,8,27.4,32.2,23.7,1000.9,1007.0,26.4,21.8,74,141.9,163.9,1.9,7.2,6.0,198.7,47.45,515.88,21.9,30.9
2019-09-01,Daegu,1204238,263,26962,1,0,0,2019,9,22.6,27.0,19.1,1008.7,1014.9,21.3,18.2,79,185.5,110.7,1.7,7.8,6.9,137.0,36.73,379.27,16.9,24.4
2019-10-01,Daegu,1205825,211,20570,0,0,0,2019,10,16.8,22.0,12.2,1012.1,1018.6,13.6,10.8,71,155.2,110.4,1.7,7.3,5.0,199.2,56.88,386.33,8.4,18.2
2019-11-01,Daegu,1206544,214,21162,0,0,0,2019,11,9.8,16.3,4.3,1015.6,1022.3,8.1,2.9,66,15.3,77.0,1.7,8.4,4.0,185.2,59.94,291.61,-0.6,10.1
2019-12-01,Daegu,1205714,225,22841,0,0,0,2019,12,3.5,9.0,-1.0,1018.3,1025.1,4.6,-4.9,57,27.5,66.8,2.1,9.1,3.8,182.9,62.38,257.63,-5.0,3.1
2020-01-01,Daegu,1205330,242,26043,0,0,0,2020,1,3.8,8.4,0.1,1015.9,1022.7,5.0,-3.7,61,70.4,63.5,2.1,8.6,5.7,151.4,48.67,266.64,-3.3,3.3
2020-02-01,Daegu,1206343,243,26319,0,0,0,2020,2,4.9,10.4,0.2,1017.3,1024.1,5.3,-3.6,59,40.2,84.8,2.4,9.2,4.5,205.4,65.04,375.31,-2.9,5.6
2020-03-01,Daegu,1209408,229,23907,0,0,0,2020,3,9.5,15.8,3.6,1010.6,1017.3,7.2,1.3,61,24.5,133.4,2.5,10.6,3.8,246.1,66.21,540.59,0.0,11.3
2020-04-01,Daegu,1210346,231,24388,0,0,0,2020,4,12.6,19.0,6.5,1010.1,1016.7,7.4,2.0,53,32.4,185.4,2.9,9.9,3.5,273.7,69.48,647.86,2.6,16.4
2020-05-01,Daegu,1210674,216,21627,0,0,0,2020,5,19.4,25.7,14.0,1004.1,1010.4,13.9,11.4,64,38.1,193.5,2.5,8.6,5.8,241.7,55.36,661.45,11.0,24.2
2020-06-01,Daegu,1211536,225,23090,0,7,0,2020,6,24.5,30.5,19.3,1000.1,1006.2,18.7,16.1,63,185.3,201.3,2.2,7.5,5.7,226.4,51.8,632.61,17.4,29.3
2020-07-01,Daegu,1213348,230,22254,1,0,0,2020,7,23.2,26.8,20.2,1001.1,1007.3,22.0,18.9,79,330.5,123.6,2.2,8.5,8.2,96.7,21.78,421.05,19.6,25.6
2020-08-01,Daegu,1213860,277,27646,15,24,0,2020,8,28.6,33.3,24.8,1003.1,1009.2,27.0,22.3,71,322.7,173.6,1.9,6.9,6.4,193.5,46.29,534.44,23.5,32.7
2020-09-01,Daegu,1213655,307,35746,0,0,0,2020,9,21.2,26.0,17.1,1005.5,1011.8,18.2,15.7,73,161.0,123.5,2.0,11.3,6.3,150.1,40.34,409.03,14.8,23.5
2020-10-01,Daegu,1213029,213,20858,0,0,0,2020,10,15.4,21.3,10.1,1013.7,1020.2,11.0,7.7,64,13.1,129.2,2.0,8.2,4.2,223.0,63.82,442.4,5.5,18.4
2020-11-01,Daegu,1213173,222,22419,0,0,0,2020,11,9.7,15.3,4.5,1017.9,1024.5,7.4,1.3,59,23.9,93.2,2.2,9.0,3.6,198.5,64.32,320.68,-0.5,10.2
2020-12-01,Daegu,1212734,233,24309,0,0,0,2020,12,1.6,7.2,-3.1,1018.9,1025.8,3.8,-7.5,54,2.8,72.9,2.5,9.7,3.2,214.3,70.75,304.57,-8.5,2.1
2021-01-01,Daegu,1213769,260,28856,0,0,1,2021,1,0.5,5.9,-4.3,1017.4,1024.3,4.2,-7.3,58,11.9,62.8,2.5,10.4,3.9,203.1,65.2,315.94,-8.7,0.9
2021-02-01,Daegu,1214816,252,27285,0,0,0,2021,2,4.8,11.1,-0.6,1014.1,1020.8,5.4,-3.2,59,19.2,85.0,2.7,10.6,3.6,207.8,68.11,372.05,-4.7,5.0
2021-03-01,Daegu,1214843,218,21199,0,0,0,2021,3,10.2,16.1,4.7,1013.0,1019.6,8.4,4.0,69,95.2,117.0,2.4,8.7,5.0,204.0,54.94,489.34,0.7,11.1
2021-04-01,Daegu,1216366,225,22376,0,0,0,2021,4,14.5,20.6,8.8,1012.0,1018.5,9.7,6.2,61,43.0,167.9,2.9,8.9,4.9,247.0,62.75,616.96,5.2,18.1
2021-05-01,Daegu,1220023,211,20100,0,0,0,2021,5,18.3,24.3,12.8,1003.0,1009.3,12.6,9.8,62,90.9,183.3,2.5,8.9,5.9,209.9,48.12,598.19,9.3,21.5
2021-06-01,Daegu,1221778,220,21559,0,2,0,2021,6,23.2,28.5,18.9,1002.0,1008.2,17.6,15.2,64,55.1,185.2,2.3,7.3,6.6,185.4,42.44,594.91,16.9,26.9
2021-07-01,Daegu,1223107,245,23987,4,13,0,2021,7,26.9,32.1,22.9,1002.6,1008.7,23.6,20.0,69,153.3,196.9,2.1,6.7,6.7,216.1,48.67,608.97,21.6,30.6
2021-08-01,Daegu,1225851,325,35970,5,8,0,2021,8,25.7,30.5,22.4,1002.6,1008.8,23.7,20.1,74,256.3,138.9,1.6,7.0,7.2,130.7,31.24,453.3,21.5,28.1
2021-09-01,Daegu,1227672,254,25325,0,0,0,2021,9,22.1,26.4,18.7,1007.8,1014.1,19.6,17.1,76,84.1,122.4,2.0,7.6,6.7,128.4,34.5,402.76,16.6,24.3
2021-10-01,Daegu,1229858,218,22381,0,0,0,2021,10,16.5,22.7,11.5,1014.8,1021.2,14.0,10.7,72,57.8,112.7,1.5,6.8,4.3,217.6,62.22,425.96,7.8,18.5
2021-11-01,Daegu,1229480,223,23298,0,0,0,2021,11,9.5,15.7,4.4,1013.1,1019.7,7.5,2.2,64,43.1,87.7,2.0,10.3,3.1,208.6,67.55,320.4,-0.5,9.3
2021-12-01,Daegu,1219772,231,24788,0,0,0,2021,12,3.1,8.9,-2.1,1017.6,1024.4,4.6,-5.4,57,0.1,75.0,2.5,10.6,2.6,222.1,73.3,308.9,-6.2,2.8
2022-01-01,Daegu,1220497,251,28788,0,0,0,2022,1,0.9,6.8,-4.1,1017.3,1024.2,3.1,-10.1,47,0.0,81.2,2.3,9.3,3.4,231.4,74.29,350.35,-8.9,1.4
2022-02-01,Daegu,1220904,252,28904,0,0,0,2022,2,1.6,7.4,-3.4,1018.1,1025.0,3.0,-10.1,44,0.1,96.1,3.1,9.5,3.0,240.4,78.85,416.9,-7.9,3.3
2022-03-01,Daegu,1219746,223,23365,0,0,0,2022,3,9.7,15.9,3.8,1010.8,1017.4,7.0,0.6,58,34.3,118.1,2.4,9.6,5.0,206.4,55.62,479.66,0.1,11.3
2022-04-01,Daegu,1221948,228,23589,0,0,0,2022,4,15.9,22.7,9.4,1010.5,1017.0,9.6,5.4,55,38.5,182.7,2.2,8.5,4.0,253.3,64.4,614.53,4.9,19.7
2022-05-01,Daegu,1225740,208,21053,0,4,0,2022,5,20.7,27.4,14.1,1005.9,1012.2,11.6,8.6,50,4.2,256.8,2.5,9.1,3.8,313.3,71.84,774.85,10.4,27.0
2022-06-01,Daegu,1227517,222,23341,3,11,0,2022,6,24.3,29.7,19.8,1001.8,1008.0,21.3,18.1,71,81.8,182.2,2.4,7.9,5.9,205.9,47.13,603.39,18.7,29.1
2023-01-01,Daegu,1249247,250,31833,0,0,1,2023,1,0.9,6.7,-4.3,1017.3,1024.2,4.3,-6.5,61,11.5,64.3,2.4,11.1,3.2,218.4,70.18,328.9,-7.3,1.6
2023-02-01,Daegu,1251683,245,32833,0,0,0,2023,2,4.4,10.4,-0.7,1018.2,1025.0,4.2,-6.1,51,11.2,90.0,2.2,8.9,4.3,183.4,60.21,352.59,-4.2,4.7
2023-03-01,Daegu,1254773,209,25894,0,0,0,2023,3,11.8,18.8,5.4,1013.2,1019.8,6.3,-1.3,46,27.3,155.5,2.1,9.7,3.7,241.1,65.0,516.58,2.0,13.3
2023-04-01,Daegu,1257144,215,26978,0,0,0,2023,4,14.8,20.9,8.8,1008.6,1015.0,9.1,4.3,55,30.8,180.3,2.6,8.3,4.3,224.8,57.2,560.34,6.0,18.3
2023-05-01,Daegu,1259016,205,25308,0,1,0,2023,5,19.3,25.1,13.8,1007.1,1013.4,13.4,10.6,63,200.0,180.1,2.1,7.4,5.6,217.2,49.82,596.25,12.1,23.5
2023-06-01,Daegu,1260614,217,28695,0,3,0,2023,6,24.0,29.6,19.3,1000.9,1007.1,19.1,16.5,66,178.7,197.7,2.2,6.7,6.4,219.6,50.26,635.54,18.4,29.2
2023-07-01,Daegu,1264992,253,34176,3,9,0,2023,7,26.7,31.1,23.1,1002.0,1008.2,26.8,22.2,78,298.7,143.6,1.6,8.4,7.0,138.4,31.14,485.69,22.4,30.3
2023-08-01,Daegu,1282781,330,47872,8,14,0,2023,8,27.5,31.9,24.0,999.4,1005.5,27.1,22.3,76,312.8,164.0,2.1,8.9,6.0,189.4,45.22,534.68,23.1,31.6
2023-09-01,Daegu,1285395,294,42379,0,0,0,2023,9,23.5,27.9,20.0,1006.7,1013.0,22.0,18.8,77,123.6,119.9,1.9,6.7,6.3,155.1,44.58,409.2,18.9,26.3
2023-10-01,Daegu,1289847,217,29374,0,0,0,2023,10,15.9,22.4,10.5,1012.2,1018.6,11.5,8.7,66,5.7,129.1,1.7,7.9,3.6,235.6,67.28,457.45,7.4,17.8
2023-11-01,Daegu,1293382,211,28149,0,0,0,2023,11,9.2,15.1,4.1,1014.5,1021.1,7.2,0.2,57,31.6,99.4,2.6,9.9,3.0,211.3,68.38,335.24,1.0,8.8
2023-12-01,Daegu,1295295,224,30562,0,0,0,2023,12,3.5,8.6,-1.3,1017.6,1024.4,5.4,-3.7,62,89.9,62.0,2.3,10.6,3.7,189.8,62.64,264.12,-4.4,2.5
2024-01-01,Daegu,1298246,243,34660,0,0,0,2024,1,2.3,7.6,-2.1,1017.6,1024.4,4.3,-5.9,58,21.4,72.8,2.5,9.8,3.5,209.2,67.25,311.95,-5.1,1.5
2024-02-01,Daegu,1300410,241,34104,0,0,0,2024,2,5.4,10.4,1.5,1017.6,1024.4,6.5,0.1,71,56.8,59.0,2.3,8.2,6.1,110.2,34.9,258.08,-0.7,5.5
2024-03-01,Daegu,1301220,219,29643,0,0,0,2024,3,8.5,14.3,3.2,1011.4,1018.0,6.0,-1.5,55,70.9,129.9,2.6,9.1,4.5,211.3,56.85,469.72,0.5,9.7
2024-04-01,Daegu,1306289,218,29523,0,0,0,2024,4,16.3,22.5,10.8,1007.5,1013.9,10.7,7.5,62,60.6,142.2,2.2,8.5,5.9,184.8,46.92,511.52,8.6,18.9
2024-05-01,Daegu,1309985,201,26483,0,0,0,2024,5,19.4,26.2,12.9,1006.6,1013.0,12.0,9.2,57,59.8,225.7,2.4,9.3,4.2,281.2,64.39,723.92,10.7,24.4
2024-06-01,Daegu,1310739,216,29238,0,8,0,2024,6,24.6,30.4,19.4,1001.4,1007.6,18.1,15.5,61,98.3,189.1,1.9,6.8,5.9,233.7,53.47,644.38,17.6,30.2
2024-07-01,Daegu,1312068,264,29804,16,11,0,2024,7,27.8,31.7,24.5,1001.0,1007.1,27.4,22.5,75,372.2,152.0,2.0,7.3,6.9,151.8,34.2,515.32,23.6,30.8
2024-08-01,Daegu,1315238,362,20058,15,26,0,2024,8,29.1,34.4,25.0,1001.1,1007.1,27.3,22.5,70,118.3,181.0,2.3,8.3,4.7,250.3,59.88,634.38,24.3,34.0
2024-09-01,Daegu,1316842,347,19535,5,8,0,2024,9,25.4,30.4,21.6,1007.0,1013.2,24.1,20.2,75,151.5,136.6,1.9,6.9,5.9,163.9,44.06,454.92,20.4,28.3
2024-10-01,Daegu,1318787,248,28618,0,0,0,2024,10,17.0,21.8,13.0,1013.4,1019.8,14.6,12.3,76,94.9,97.2,1.7,7.4,5.9,148.1,42.4,347.7,10.1,18.6
2024-11-01,Daegu,1320128,213,28448,0,0,0,2024,11,10.7,16.3,6.0,1015.1,1021.7,9.1,4.4,69,50.4,81.3,1.9,8.3,4.2,172.8,56.01,292.79,2.2,10.6
2024-12-01,Daegu,1321753,221,30049,0,0,0,2024,12,3.5,8.3,-0.8,1015.7,1022.5,3.9,-6.7,50,1.3,87.6,2.8,9.1,3.1,222.0,73.29,304.49,-4.9,2.1
2022-07-01,Daegu,1229277,290,33502,10,18,0,2022,7,27.5,32.4,23.7,1000.1,1006.2,27.6,22.6,77,88.8,166.8,2.3,6.2,6.8,180.5,40.62,569.6,22.6,31.2
2022-08-01,Daegu,1231359,330,37654,15,11,0,2022,8,26.9,31.4,23.4,1001.5,1007.6,28.3,22.9,81,143.3,133.7,1.7,7.4,7.3,139.1,33.24,449.78,22.4,30.3
2022-09-01,Daegu,1233449,269,28802,0,1,0,2022,9,21.9,26.8,17.7,1007.1,1013.4,20.9,17.8,80,114.2,110.0,2.3,9.4,6.2,168.4,45.2,453.26,15.3,26.0
2022-10-01,Daegu,1237344,213,22725,0,0,0,2022,10,15.5,21.6,10.1,1015.2,1021.6,12.8,9.9,72,25.6,119.4,2.1,8.7,4.3,233.8,66.8,457.38,7.1,19.6
2022-11-01,Daegu,1245348,216,24282,0,0,0,2022,11,11.0,17.7,5.2,1014.7,1021.3,8.6,3.9,65,46.6,84.5,1.7,8.1,3.4,209.3,67.73,330.4,1.4,12.9
2022-12-01,Daegu,1246549,227,26044,0,0,0,2022,12,0.4,5.4,-4.0,1017.4,1024.3,4.0,-6.3,63,3.6,58.5,2.4,9.0,3.6,209.5,69.14,298.9,-6.8,1.8
2015-01-01,Daejeon,713378,241,31178,0,0,0,2015,1,0.0,5.0,-4.4,1016.3,1025.0,4.6,-4.7,73,31.5,32.0,1.3,5.8,4.5,165.5,53.37,278.88,-8.7,0.5
2015-02-01,Daejeon,713979,237,30162,0,0,1,2015,2,1.9,7.2,-2.4,1014.1,1022.8,4.8,-4.3,66,27.0,40.6,1.7,7.4,5.0,168.2,55.31,330.1,-6.5,2.4
2015-03-01,Daejeon,714346,208,23451,0,0,0,2015,3,7.2,14.3,0.6,1013.2,1021.7,5.2,-3.6,51,44.7,90.0,1.7,7.4,3.0,264.2,71.29,568.51,-4.2,9.1
2015-04-01,Daejeon,714974,218,25402,0,0,0,2015,4,13.3,19.3,7.8,1007.9,1016.2,10.0,6.2,68,95.2,83.6,1.9,9.1,5.6,179.3,45.58,492.2,4.3,14.8
2015-05-01,Daejeon,715424,201,21921,0,0,0,2015,5,19.5,26.0,13.0,1002.0,1010.0,13.0,10.1,60,28.9,153.2,1.6,7.5,4.0,297.3,68.03,769.22,8.8,23.1
2015-06-01,Daejeon,716155,205,22667,0,1,0,2015,6,23.4,28.9,18.5,999.1,1007.0,18.9,16.3,68,119.8,143.0,1.5,6.7,6.3,220.0,50.26,643.91,15.1,28.1
2015-07-01,Daejeon,717291,207,22379,3,2,0,2015,7,25.4,29.5,22.1,999.2,1007.0,25.9,21.4,80,145.6,113.7,1.8,8.5,6.8,188.9,42.4,555.59,20.6,28.5
2015-08-01,Daejeon,719308,257,32878,4,9,0,2015,8,26.4,31.2,22.6,1000.8,1008.6,25.8,21.5,76,51.6,129.2,1.5,5.5,5.4,228.5,54.48,598.8,20.5,30.6
